('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790073 function calls (765848 primitive calls) in 6.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.002    0.000    0.004    0.000 <frozen abc>:105(__new__)
      260    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     6709    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     2655    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
    217/4    0.002    0.000    4.785    1.196 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     6255    0.002    0.000    0.008    0.000 __init__.py:122(unescape)
       64    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      197    0.002    0.000    2.327    0.012 <frozen importlib._bootstrap_external>:1491(_get_spec)
      165    0.002    0.000    1.271    0.008 <frozen importlib._bootstrap_external>:1183(get_data)
       17    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
     6000    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      174    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      268    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     5927    0.002    0.000    0.008    0.000 {built-in method builtins.next}
     9226    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4305    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     2799    0.001    0.000    0.002    0.000 element.py:1812(is_empty_element)
     5720    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2778    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
      730    0.001    0.000    0.004    0.000 filter.py:612(_attribute_match)
     4249    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      901    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
       19    0.001    0.000    0.094    0.005 {method 'join' of 'bytes' objects}
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     2322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      190    0.001    0.000    0.011    0.000 _compiler.py:511(_compile_info)
      310    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
     5618    0.001    0.000    0.001    0.000 element.py:2763(descendants)
    192/4    0.001    0.000    4.719    1.180 <frozen importlib._bootstrap>:911(_load_unlocked)
     9103    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      325    0.001    0.000    0.005    0.000 css_parser.py:1094(selector_iter)
      942    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      192    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       40    0.001    0.000    0.010    0.000 response.py:122(decompress)
      190    0.001    0.000    0.163    0.001 _compiler.py:740(compile)
       21    0.001    0.000    9.469    0.451 __init__.py:1(<module>)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
      380    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
     2761    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       10    0.001    0.000    0.006    0.001 enum.py:919(_convert_)
      853    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
    442/8    0.001    0.000    4.678    0.585 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1363    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
      174    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      856    0.001    0.000    2.884    0.003 <frozen importlib._bootstrap_external>:140(_path_stat)
     1346    0.001    0.000    0.002    0.000 filter.py:623(_match_attribute_value_helper)
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     2800    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      303    0.001    0.000    1.027    0.003 socket.py:693(readinto)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
    52/14    0.001    0.000    0.017    0.001 css_parser.py:911(parse_selectors)
    165/4    0.001    0.000    4.718    1.180 <frozen importlib._bootstrap_external>:989(exec_module)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3821    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1237    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1678    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2800    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2626    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
      190    0.001    0.000    0.096    0.001 _parser.py:969(parse)
  192/188    0.001    0.000    0.079    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      134    0.001    0.000    0.004    0.000 typing.py:1242(__init__)
      303    0.001    0.000    1.025    0.003 ssl.py:1237(recv_into)
     3251    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2922    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2683    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     5616    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
      257    0.001    0.000    1.148    0.004 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1447    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     3356    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      217    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
       86    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     2648    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     1005    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
      174    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     2799    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      488    0.001    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      928    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      303    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       23    0.001    0.000    0.003    0.000 enum.py:528(__new__)
      358    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      165    0.001    0.000    0.725    0.004 <frozen importlib._bootstrap_external>:1202(path_stats)
       62    0.001    0.000    0.005    0.000 typing.py:687(Union)
      497    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      190    0.000    0.000    0.065    0.000 _compiler.py:573(_code)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
