('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790565 function calls (766278 primitive calls) in 6.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1300    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1270/190    0.010    0.000    0.102    0.001 _parser.py:452(_parse_sub)
     1237    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1005    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      942    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
      928    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      901    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
      901    0.010    0.000    0.016    0.000 _compiler.py:243(_optimize_charset)
      861    2.979    0.003    2.979    0.003 {built-in method posix.stat}
      856    0.001    0.000    2.976    0.003 <frozen importlib._bootstrap_external>:140(_path_stat)
      853    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      825    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      825    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      817    0.000    0.000    0.001    0.000 element.py:2160(get)
      804    0.003    0.000    0.003    0.000 _parser.py:372(_escape)
      743    0.003    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      733    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      730    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      730    0.001    0.000    0.004    0.000 filter.py:612(_attribute_match)
      660    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      634    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
  546/541    0.011    0.000    0.148    0.000 {built-in method builtins.__build_class__}
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      520    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      515    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      497    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      497    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      488    0.001    0.000    0.180    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      472    0.003    0.000    0.005    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
    442/8    0.001    0.000    4.962    0.620 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      424    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      414    0.009    0.000    2.106    0.005 <frozen importlib._bootstrap_external>:1593(find_spec)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      413    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      380    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      358    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      344    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      339    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      330    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      325    0.001    0.000    0.005    0.000 css_parser.py:1094(selector_iter)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      323    0.000    0.000    0.003    0.000 typing.py:166(_type_convert)
      319    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      317    0.000    0.000    0.000    0.000 socket.py:732(readable)
      315    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      315    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      315    0.000    0.000    1.014    0.003 ssl.py:1095(read)
      315    1.014    0.003    1.014    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      315    0.001    0.000    1.016    0.003 socket.py:693(readinto)
      315    0.001    0.000    1.015    0.003 ssl.py:1237(recv_into)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
      309    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      306    0.003    0.000    0.177    0.001 __init__.py:280(_compile)
      304    0.000    0.000    0.177    0.001 __init__.py:226(compile)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      294    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      268    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      260    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      260    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      260    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      257    0.001    0.000    1.128    0.004 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      237    0.000    0.000    1.060    0.004 <frozen importlib._bootstrap_external>:159(_path_isfile)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      225    0.253    0.001    0.345    0.002 {method 'read' of '_io.BufferedReader' objects}
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    218/4    0.003    0.000    5.104    1.276 <frozen importlib._bootstrap>:1349(_find_and_load)
    217/4    0.002    0.000    5.103    1.276 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      217    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:416(__enter__)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      215    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      215    0.004    0.000    2.296    0.011 <frozen importlib._bootstrap>:1240(_find_spec)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
